delivery_id,order_id,driver_id,estimated_minutes,actual_minutes
300,300,204,17,52
301,301,50,38,13
302,302,84,10,26
303,303,248,50,69
304,304,247,27,52
305,305,224,53,38
306,306,118,55,75
307,307,168,60,31
308,308,176,44,79
309,309,51,51,13
310,310,154,56,34
311,311,242,44,60
312,312,116,12,62
313,313,193,21,27
314,314,197,21,49
315,315,245,17,42
316,316,211,25,20
317,317,159,17,51
318,318,207,11,61
319,319,139,59,20
320,320,40,14,23
321,321,68,39,78
322,322,162,15,49
323,323,174,45,42
324,324,142,39,34
325,325,222,21,41
326,326,135,41,43
327,327,228,22,13
328,328,190,37,79
329,329,215,58,51
330,330,218,26,73
331,331,205,56,34
332,332,59,15,10
333,333,22,48,18
334,334,43,39,49
335,335,174,22,50
336,336,20,52,80
337,337,9,31,12
338,338,91,44,21
339,339,143,36,52
340,340,145,44,39
341,341,52,52,64
342,342,120,26,78
343,343,94,59,12
344,344,23,28,21
345,345,233,56,37
346,346,154,26,28
347,347,240,11,69
348,348,12,12,51
349,349,207,40,25
350,350,52,41,26
351,351,226,60,29
352,352,202,41,77
353,353,68,40,26
354,354,115,36,15
355,355,91,25,78
356,356,182,52,28
357,357,219,35,26
358,358,250,42,57
359,359,61,54,30
360,360,117,55,76
361,361,157,50,53
362,362,166,27,49
363,363,18,33,58
364,364,199,23,19
365,365,161,45,26
366,366,134,56,24
367,367,46,41,56
368,368,213,21,36
369,369,174,47,76
370,370,10,27,23
371,371,166,20,61
372,372,7,35,80
373,373,212,46,11
374,374,107,59,58
375,375,69,47,72
376,376,170,56,62
377,377,224,42,27
378,378,208,44,30
379,379,45,36,34
380,380,150,23,20
381,381,218,11,61
382,382,84,44,71
383,383,119,48,30
384,384,227,20,29
385,385,53,23,47
386,386,204,32,38
387,387,81,17,53
388,388,124,56,40
389,389,131,12,63
390,390,66,28,25
391,391,249,16,80
392,392,218,31,74
393,393,38,22,62
394,394,7,45,67
395,395,96,17,44
396,396,29,47,56
397,397,248,44,48
398,398,183,24,27
399,399,145,46,52
400,400,119,35,65
401,401,162,26,56
402,402,179,12,33
403,403,104,47,28
404,404,195,28,55
405,405,74,59,52
406,406,85,19,45
407,407,104,17,23
408,408,230,29,24
409,409,174,50,52
410,410,203,30,35
411,411,91,19,48
412,412,213,26,65
413,413,5,56,66
414,414,54,26,10
415,415,84,48,11
416,416,229,43,17
417,417,202,48,44
418,418,63,11,30
419,419,95,13,20
420,420,140,21,28
421,421,240,17,75
422,422,17,27,78
423,423,27,37,20
424,424,85,23,45
425,425,223,34,70
426,426,209,19,35
427,427,173,39,37
428,428,238,49,12
429,429,206,28,35
430,430,128,56,51
431,431,210,12,66
432,432,162,46,38
433,433,66,33,72
434,434,204,41,41
435,435,106,30,76
436,436,125,49,68
437,437,225,27,56
438,438,146,23,42
439,439,59,10,22
440,440,196,51,65
441,441,68,32,59
442,442,34,50,46
443,443,23,32,51
444,444,210,38,39
445,445,209,35,71
446,446,158,44,78
447,447,190,52,36
448,448,121,56,57
449,449,203,36,75
450,450,88,37,70
451,451,99,16,35
452,452,208,53,50
453,453,42,20,72
454,454,239,30,60
455,455,203,54,11
456,456,191,50,45
457,457,80,49,75
458,458,64,44,21
459,459,92,23,11
460,460,249,49,55
461,461,72,40,50
462,462,94,46,43
463,463,117,57,14
464,464,48,36,55
465,465,206,41,55
466,466,77,44,70
467,467,195,53,43
468,468,141,25,63
469,469,1,20,28
470,470,244,27,20
471,471,88,57,36
472,472,231,38,47
473,473,150,14,57
474,474,74,44,66
475,475,79,42,79
476,476,92,59,79
477,477,45,12,62
478,478,30,36,25
479,479,163,50,45
480,480,213,33,64
481,481,49,60,23
482,482,107,57,40
483,483,250,53,28
484,484,90,33,10
485,485,22,57,22
486,486,250,20,40
487,487,231,16,47
488,488,65,18,62
489,489,40,22,19
490,490,79,16,25
491,491,206,37,33
492,492,250,54,35
493,493,90,28,17
494,494,156,55,65
495,495,34,12,46
496,496,144,40,27
497,497,105,41,44
498,498,36,40,50
499,499,220,35,58
500,500,63,38,24
501,501,177,33,52
502,502,1,18,40
503,503,249,20,67
504,504,249,24,60
505,505,89,48,27
506,506,65,45,46
507,507,158,53,54
508,508,231,46,64
509,509,179,31,49
510,510,194,40,40
511,511,106,51,59
512,512,163,51,28
513,513,170,10,31
514,514,163,45,30
515,515,215,13,62
516,516,69,55,15
517,517,149,19,23
518,518,136,19,63
519,519,138,25,35
520,520,20,49,59
521,521,163,46,33
522,522,243,48,78
523,523,241,42,61
524,524,116,37,41
525,525,72,25,14
526,526,225,38,39
527,527,78,37,15
528,528,57,43,62
529,529,192,13,52
530,530,211,39,32
531,531,100,18,43
532,532,243,35,31
533,533,112,14,31
534,534,223,24,77
535,535,198,52,33
536,536,107,26,49
537,537,160,13,52
538,538,74,26,76
539,539,97,53,62
540,540,35,21,38
541,541,6,37,10
542,542,184,17,16
543,543,163,31,56
544,544,75,12,22
545,545,154,40,11
546,546,144,60,47
547,547,195,10,20
548,548,156,12,41
549,549,181,28,61
550,550,99,55,43
551,551,33,25,20
552,552,174,54,66
553,553,144,19,63
554,554,103,33,61
555,555,178,13,70
556,556,157,18,80
557,557,68,53,66
558,558,150,22,74
559,559,139,33,21
560,560,215,18,19
561,561,185,21,72
562,562,201,39,40
563,563,229,53,45
564,564,197,21,41
565,565,36,38,37
566,566,135,15,65
567,567,208,31,67
568,568,34,25,14
569,569,241,58,11
570,570,200,27,49
571,571,154,26,38
572,572,65,44,48
573,573,23,27,27
574,574,18,32,19
575,575,223,35,20
576,576,193,13,29
577,577,74,48,69
578,578,28,38,45
579,579,78,18,29
580,580,160,29,67
581,581,85,59,68
582,582,204,49,79
583,583,13,59,50
584,584,192,40,53
585,585,225,58,54
586,586,153,22,57
587,587,43,47,36
588,588,208,40,39
589,589,71,36,48
590,590,185,17,58
591,591,50,24,52
592,592,117,21,14
593,593,171,59,55
594,594,249,25,39
595,595,110,27,23
596,596,5,18,28
597,597,21,49,71
598,598,143,11,55
599,599,86,60,41
600,600,59,41,64
601,601,44,42,41
602,602,191,14,57
603,603,41,31,64
604,604,215,20,46
605,605,48,60,51
606,606,85,52,32
607,607,96,50,24
608,608,167,21,16
609,609,77,37,25
610,610,157,39,29
611,611,203,20,38
612,612,136,41,26
613,613,229,55,66
614,614,2,13,73
615,615,171,52,23
616,616,201,39,52
617,617,247,30,46
618,618,202,27,71
619,619,194,22,45
620,620,96,13,20
621,621,89,21,62
622,622,204,35,45
623,623,200,15,57
624,624,103,37,78
625,625,250,31,11
626,626,216,47,44
627,627,38,44,22
628,628,201,36,59
629,629,106,40,62
630,630,63,52,61
631,631,129,30,31
632,632,225,38,80
633,633,176,31,75
634,634,152,47,18
635,635,244,38,59
636,636,67,22,57
637,637,192,56,60
638,638,45,59,27
639,639,173,19,49
640,640,141,37,72
641,641,224,54,28
642,642,219,51,37
643,643,48,59,18
644,644,236,49,59
645,645,102,58,79
646,646,125,43,56
647,647,226,18,78
648,648,85,59,66
649,649,110,48,56
650,650,209,27,70
651,651,97,39,54
652,652,75,32,35
653,653,198,11,34
654,654,16,13,70
655,655,249,14,45
656,656,166,34,62
657,657,176,32,19
658,658,71,30,28
659,659,68,30,52
660,660,186,43,16
661,661,207,41,24
662,662,143,17,38
663,663,171,47,47
664,664,173,52,14
665,665,15,48,69
666,666,209,58,41
667,667,66,34,76
668,668,162,44,66
669,669,134,54,13
670,670,81,40,56
671,671,9,36,68
672,672,232,46,52
673,673,57,60,56
674,674,245,35,57
675,675,12,20,75
676,676,82,56,22
677,677,45,49,30
678,678,225,29,80
679,679,197,32,69
680,680,120,54,28
681,681,28,49,11
682,682,186,41,16
683,683,223,10,68
684,684,97,55,54
685,685,193,53,11
686,686,176,23,10
687,687,9,26,61
688,688,171,36,79
689,689,57,36,75
690,690,112,18,62
691,691,191,45,64
692,692,47,29,64
693,693,170,29,70
694,694,180,45,38
695,695,202,44,76
696,696,207,55,31
697,697,202,38,56
698,698,247,14,45
699,699,214,11,68
700,700,83,27,75
701,701,179,52,13
702,702,77,29,23
703,703,208,15,60
704,704,3,60,16
705,705,162,28,19
706,706,226,51,68
707,707,54,33,39
708,708,143,44,24
709,709,157,34,73
710,710,145,23,63
711,711,247,39,74
712,712,43,38,39
713,713,97,41,41
714,714,86,60,24
715,715,88,54,30
716,716,83,41,63
717,717,24,30,15
718,718,223,13,73
719,719,67,14,13
720,720,190,33,43
721,721,168,22,62
722,722,182,22,47
723,723,156,22,11
724,724,171,57,32
725,725,35,54,59
726,726,39,51,25
727,727,145,56,47
728,728,42,50,34
729,729,122,54,74
730,730,83,56,14
731,731,44,54,27
732,732,152,19,42
733,733,171,52,26
734,734,182,39,27
735,735,40,37,32
736,736,101,46,60
737,737,176,48,11
738,738,32,20,76
739,739,237,40,72
740,740,22,42,34
741,741,143,24,19
742,742,180,47,15
743,743,61,32,11
744,744,177,51,11
745,745,143,12,52
746,746,139,35,76
747,747,212,15,76
748,748,179,60,27
749,749,109,23,40
750,750,20,59,20
751,751,72,49,12
752,752,176,43,80
753,753,201,37,58
754,754,110,15,34
755,755,45,13,54
756,756,205,22,42
757,757,29,32,14
758,758,205,51,17
759,759,29,32,48
760,760,201,43,45
761,761,223,41,60
762,762,82,42,38
763,763,224,56,76
764,764,190,50,16
765,765,73,55,52
766,766,83,38,60
767,767,226,20,12
768,768,203,53,42
769,769,211,12,28
770,770,84,56,42
771,771,231,26,16
772,772,38,45,70
773,773,85,19,63
774,774,242,24,39
775,775,106,44,26
776,776,5,60,77
777,777,33,23,66
778,778,242,50,36
779,779,32,10,25
780,780,45,60,40
781,781,49,34,39
782,782,87,25,72
783,783,63,47,14
784,784,18,34,74
785,785,43,19,37
786,786,22,28,41
787,787,217,12,77
788,788,15,52,10
789,789,141,36,73
790,790,148,58,71
791,791,83,34,23
792,792,215,39,60
793,793,242,29,22
794,794,61,45,47
795,795,214,15,36
796,796,18,58,64
797,797,62,19,61
798,798,23,37,38
799,799,124,24,56
800,800,30,60,60
801,801,158,30,38
802,802,222,49,80
803,803,94,28,74
804,804,195,48,57
805,805,228,53,65
806,806,216,24,54
807,807,98,47,41
808,808,157,46,63
809,809,106,28,33
810,810,179,27,31
811,811,110,56,50
812,812,131,36,48
813,813,244,42,55
814,814,74,30,70
815,815,62,49,30
816,816,15,10,46
817,817,222,48,72
818,818,14,32,23
819,819,178,14,44
820,820,74,33,41
821,821,28,36,73
822,822,66,58,62
823,823,169,23,51
824,824,1,44,43
825,825,177,57,64
826,826,175,22,25
827,827,89,55,12
828,828,18,22,29
829,829,228,41,46
830,830,160,10,24
831,831,150,15,12
832,832,33,12,71
833,833,206,45,10
834,834,193,16,71
835,835,143,18,11
836,836,102,37,44
837,837,64,49,23
838,838,237,57,61
839,839,222,49,26
840,840,100,32,49
841,841,211,24,71
842,842,221,32,42
843,843,203,58,66
844,844,187,13,23
845,845,1,10,75
846,846,142,22,63
847,847,78,40,74
848,848,71,26,35
849,849,192,12,63
850,850,142,32,79
851,851,66,13,52
852,852,13,55,29
853,853,1,49,65
854,854,215,22,73
855,855,5,36,63
856,856,42,29,51
857,857,1,15,78
858,858,17,45,56
859,859,245,13,61
860,860,14,10,50
861,861,243,24,22
862,862,157,42,26
863,863,6,12,37
864,864,143,19,21
865,865,113,15,18
866,866,50,25,61
867,867,18,27,53
868,868,78,38,14
869,869,195,52,25
870,870,26,29,67
871,871,100,32,72
872,872,204,60,40
873,873,34,31,76
874,874,178,23,57
875,875,64,48,63
876,876,192,34,49
877,877,121,15,76
878,878,87,36,28
879,879,124,56,80
880,880,55,29,11
881,881,182,35,43
882,882,165,29,79
883,883,88,28,17
884,884,88,22,47
885,885,119,59,20
886,886,197,20,64
887,887,182,31,30
888,888,59,28,10
889,889,37,33,68
890,890,143,12,40
891,891,215,42,74
892,892,246,14,48
893,893,213,56,27
894,894,117,43,47
895,895,108,35,33
896,896,114,45,42
897,897,142,46,16
898,898,224,58,56
899,899,31,28,68
900,900,30,56,62
901,901,243,47,80
902,902,164,46,28
903,903,35,56,74
904,904,200,58,21
905,905,129,21,27
906,906,215,26,10
907,907,70,37,25
908,908,184,56,22
909,909,77,46,72
910,910,151,54,57
911,911,68,45,57
912,912,113,34,72
913,913,215,37,13
914,914,25,25,79
915,915,221,44,35
916,916,204,31,27
917,917,131,38,34
918,918,215,50,41
919,919,188,59,17
920,920,120,50,76
921,921,219,21,16
922,922,66,52,43
923,923,148,30,73
924,924,247,35,46
925,925,122,57,37
926,926,110,11,19
927,927,79,58,63
928,928,115,26,70
929,929,125,17,52
930,930,54,50,74
931,931,137,22,36
932,932,110,34,13
933,933,172,36,58
934,934,28,50,10
935,935,132,21,22
936,936,72,33,18
937,937,160,22,12
938,938,164,27,30
939,939,76,57,23
940,940,31,14,54
941,941,95,12,63
942,942,14,55,62
943,943,138,56,24
944,944,160,37,13
945,945,60,51,32
946,946,105,41,31
947,947,162,25,73
948,948,14,47,31
949,949,93,10,52
950,950,191,45,54
951,951,183,55,31
952,952,145,42,54
953,953,7,51,12
954,954,80,46,15
955,955,238,57,54
956,956,111,34,43
957,957,53,59,47
958,958,135,34,47
959,959,63,13,64
960,960,101,37,21
961,961,30,43,52
962,962,28,31,13
963,963,63,52,69
964,964,15,54,26
965,965,98,56,27
966,966,127,50,66
967,967,65,34,23
968,968,146,30,70
969,969,191,53,11
970,970,217,32,37
971,971,205,41,40
972,972,64,56,18
973,973,11,14,63
974,974,230,31,80
975,975,143,16,70
976,976,181,35,49
977,977,240,41,46
978,978,243,59,70
979,979,145,42,43
980,980,1,60,18
981,981,223,20,30
982,982,116,50,36
983,983,157,31,41
984,984,70,12,15
985,985,211,32,74
986,986,43,28,38
987,987,244,51,57
988,988,195,16,52
989,989,171,23,41
990,990,32,42,30
991,991,13,15,75
992,992,147,18,61
993,993,21,16,57
994,994,127,21,75
995,995,172,33,13
996,996,144,40,44
997,997,250,38,21
998,998,91,23,19
999,999,237,44,15
1000,1000,8,50,75
1001,1001,105,59,60
1002,1002,2,29,75
1003,1003,141,20,28
1004,1004,31,31,80
1005,1005,122,58,30
1006,1006,26,22,21
1007,1007,210,60,57
1008,1008,129,48,59
1009,1009,39,34,25
1010,1010,189,58,53
1011,1011,134,26,10
1012,1012,78,15,65
1013,1013,236,26,73
1014,1014,48,33,57
1015,1015,65,10,76
1016,1016,121,54,50
1017,1017,216,46,30
1018,1018,199,17,79
1019,1019,117,35,35
1020,1020,83,27,27
1021,1021,164,55,74
1022,1022,164,20,19
1023,1023,112,26,63
1024,1024,210,47,45
1025,1025,118,13,44
1026,1026,99,17,48
1027,1027,229,53,45
1028,1028,141,60,80
1029,1029,151,22,41
1030,1030,40,36,27
1031,1031,26,26,45
1032,1032,195,21,21
1033,1033,170,35,32
1034,1034,243,17,78
1035,1035,211,33,22
1036,1036,10,30,36
1037,1037,74,36,17
1038,1038,59,15,71
1039,1039,191,49,25
1040,1040,45,48,46
1041,1041,118,23,10
1042,1042,150,26,62
1043,1043,223,28,40
1044,1044,16,28,63
1045,1045,84,59,43
1046,1046,217,54,60
1047,1047,68,16,57
1048,1048,62,10,24
1049,1049,18,59,69
1050,1050,140,57,67
1051,1051,156,11,34
1052,1052,141,39,47
1053,1053,208,14,44
1054,1054,131,38,63
1055,1055,116,37,24
1056,1056,2,33,16
1057,1057,17,60,51
1058,1058,59,56,52
1059,1059,87,11,61
1060,1060,15,36,80
1061,1061,141,53,24
1062,1062,222,10,31
1063,1063,39,27,70
1064,1064,72,57,60
1065,1065,219,21,11
1066,1066,136,21,64
1067,1067,115,40,39
1068,1068,64,22,39
1069,1069,51,21,51
1070,1070,249,38,22
1071,1071,58,41,19
1072,1072,83,26,26
1073,1073,210,44,10
1074,1074,182,28,57
1075,1075,9,34,68
1076,1076,26,50,58
1077,1077,190,10,49
1078,1078,205,41,75
1079,1079,218,17,67
1080,1080,4,36,79
1081,1081,42,13,21
1082,1082,79,52,44
1083,1083,214,54,13
1084,1084,217,19,77
1085,1085,119,54,42
1086,1086,120,10,77
1087,1087,51,14,53
1088,1088,44,47,34
1089,1089,157,56,34
1090,1090,232,17,50
1091,1091,247,28,31
1092,1092,77,45,72
1093,1093,202,21,18
1094,1094,90,11,60
1095,1095,155,50,49
1096,1096,63,46,15
1097,1097,103,35,37
1098,1098,156,34,76
1099,1099,91,58,14
1100,1100,22,45,29
1101,1101,201,20,57
1102,1102,84,41,33
1103,1103,98,15,73
1104,1104,100,17,70
1105,1105,106,38,26
1106,1106,123,32,35
1107,1107,181,16,12
1108,1108,70,48,51
1109,1109,249,37,32
1110,1110,21,19,27
1111,1111,31,28,13
1112,1112,104,21,45
1113,1113,201,37,50
1114,1114,73,39,72
1115,1115,5,24,67
1116,1116,181,20,36
1117,1117,25,54,73
1118,1118,15,58,10
1119,1119,53,20,62
1120,1120,90,19,17
1121,1121,148,18,79
1122,1122,151,43,50
1123,1123,173,43,43
1124,1124,8,19,18
1125,1125,95,24,72
1126,1126,125,31,69
1127,1127,25,37,72
1128,1128,65,13,17
1129,1129,147,41,50
1130,1130,188,37,74
1131,1131,144,39,10
1132,1132,104,59,29
1133,1133,6,45,50
1134,1134,76,44,30
1135,1135,163,52,56
1136,1136,112,35,74
1137,1137,177,47,42
1138,1138,113,59,72
1139,1139,101,52,58
1140,1140,100,52,26
1141,1141,114,43,56
1142,1142,128,15,30
1143,1143,151,57,20
1144,1144,17,60,30
1145,1145,161,38,48
1146,1146,35,40,20
1147,1147,229,28,42
1148,1148,49,12,14
1149,1149,178,44,80
1150,1150,234,29,69
1151,1151,54,55,79
1152,1152,5,34,60
1153,1153,94,16,42
1154,1154,106,51,22
1155,1155,96,22,40
1156,1156,116,43,59
1157,1157,80,12,17
1158,1158,187,28,63
1159,1159,91,53,52
1160,1160,90,54,55
1161,1161,156,29,69
1162,1162,47,54,20
1163,1163,3,40,51
1164,1164,212,20,13
1165,1165,208,44,76
1166,1166,137,53,13
1167,1167,169,17,60
1168,1168,153,54,30
1169,1169,122,40,17
1170,1170,202,15,19
1171,1171,4,17,39
1172,1172,110,10,73
1173,1173,182,12,32
1174,1174,62,32,15
1175,1175,201,58,15
1176,1176,135,32,79
1177,1177,209,28,17
1178,1178,147,15,31
1179,1179,37,17,56
1180,1180,23,38,70
1181,1181,98,16,78
1182,1182,237,20,17
1183,1183,173,10,27
1184,1184,17,37,65
1185,1185,47,47,16
1186,1186,163,20,22
1187,1187,57,60,42
1188,1188,58,23,57
1189,1189,216,16,13
1190,1190,157,21,33
1191,1191,61,45,69
1192,1192,242,43,14
1193,1193,57,46,44
1194,1194,80,16,55
1195,1195,239,43,56
1196,1196,114,17,38
1197,1197,215,29,68
1198,1198,89,22,37
1199,1199,237,16,11
1200,1200,13,57,72
1201,1201,241,14,35
1202,1202,81,45,15
1203,1203,136,54,10
1204,1204,81,58,23
1205,1205,183,25,76
1206,1206,7,46,39
1207,1207,224,26,40
1208,1208,81,16,72
1209,1209,16,45,73
1210,1210,82,52,77
1211,1211,79,47,39
1212,1212,25,21,71
1213,1213,69,53,55
1214,1214,231,24,38
1215,1215,176,31,10
1216,1216,15,45,73
1217,1217,186,44,51
1218,1218,155,31,30
1219,1219,71,12,36
1220,1220,181,60,11
1221,1221,221,53,55
1222,1222,68,43,32
1223,1223,198,59,11
1224,1224,231,29,24
1225,1225,14,48,15
1226,1226,201,40,12
1227,1227,150,56,36
1228,1228,55,59,69
1229,1229,160,12,23
1230,1230,225,53,61
1231,1231,103,32,61
1232,1232,51,57,50
1233,1233,74,34,45
1234,1234,47,13,59
1235,1235,169,22,42
1236,1236,165,45,30
1237,1237,209,59,29
1238,1238,134,17,43
1239,1239,173,11,15
1240,1240,88,53,76
1241,1241,96,36,25
1242,1242,249,54,62
1243,1243,172,12,39
1244,1244,222,23,40
1245,1245,221,23,46
1246,1246,138,55,16
1247,1247,151,50,75
1248,1248,81,54,55
1249,1249,63,16,35
1250,1250,117,30,25
1251,1251,18,48,54
1252,1252,33,47,56
1253,1253,73,43,45
1254,1254,65,59,74
1255,1255,163,52,38
1256,1256,118,20,14
1257,1257,111,32,46
1258,1258,85,17,20
1259,1259,23,17,34
1260,1260,33,53,63
1261,1261,75,42,35
1262,1262,112,24,42
1263,1263,244,10,54
1264,1264,1,48,67
1265,1265,74,59,28
1266,1266,70,58,28
1267,1267,200,21,80
1268,1268,190,36,23
1269,1269,115,15,48
1270,1270,113,42,30
1271,1271,127,12,20
1272,1272,234,38,32
1273,1273,67,55,13
1274,1274,241,12,74
1275,1275,211,26,13
1276,1276,7,60,49
1277,1277,68,17,53
1278,1278,16,37,53
1279,1279,131,27,35
1280,1280,197,32,65
1281,1281,151,13,22
1282,1282,243,10,40
1283,1283,187,19,63
1284,1284,87,25,37
1285,1285,26,45,58
1286,1286,244,35,68
1287,1287,52,10,35
1288,1288,198,52,78
1289,1289,193,31,14
1290,1290,147,37,62
1291,1291,113,35,42
1292,1292,166,29,22
1293,1293,45,26,22
1294,1294,218,52,17
1295,1295,183,15,57
1296,1296,64,35,56
1297,1297,221,22,56
1298,1298,194,44,18
1299,1299,226,53,11
1300,1300,21,49,64
1301,1301,110,41,24
1302,1302,230,12,69
1303,1303,183,10,46
1304,1304,41,35,60
1305,1305,166,17,24
1306,1306,31,26,53
1307,1307,227,58,16
1308,1308,84,47,35
1309,1309,230,23,42
1310,1310,94,50,58
1311,1311,220,47,13
1312,1312,112,27,39
1313,1313,118,49,31
1314,1314,157,27,19
1315,1315,71,24,36
1316,1316,46,37,71
1317,1317,188,12,48
1318,1318,174,27,27
1319,1319,33,12,58
1320,1320,58,31,24
1321,1321,11,32,28
1322,1322,86,27,23
1323,1323,128,20,74
1324,1324,35,11,13
1325,1325,197,28,12
1326,1326,159,55,71
1327,1327,200,24,79
1328,1328,25,34,20
